,Coefficient,Std Err,CI
Conformity,-0.99,0.09,"[-1.16, -0.82]"
Tradition,-0.71,0.09,"[-0.89, -0.54]"
Benevolence,-0.17,0.02,"[-0.21, -0.13]"
Universalism,-0.28,0.02,"[-0.32, -0.24]"
Self_Direction,-0.47,0.04,"[-0.54, -0.4]"
Stimulation,0.02,0.06,"[-0.09, 0.13]"
Hedonism,-0.52,0.06,"[-0.65, -0.4]"
Achievement,-0.91,0.07,"[-1.04, -0.78]"
Power,-1.54,0.1,"[-1.73, -1.35]"
Security,-0.51,0.05,"[-0.6, -0.42]"
