values,Mean,SD,Median
Conformity,4.51,0.79,5.0
Tradition,5.12,0.78,5.0
Benevolence,5.95,0.2,6.0
Universalism,5.92,0.19,6.0
Self_Direction,5.84,0.34,6.0
Stimulation,5.14,0.47,5.0
Hedonism,5.17,0.54,5.5
Achievement,5.62,0.61,6.0
Power,5.34,0.92,6.0
Security,5.87,0.42,6.0
