values,Mean,SD,Median
Conformity,2.17,0.26,2.0
Tradition,2.74,0.62,3.0
Benevolence,5.3,0.4,5.0
Universalism,5.39,0.44,5.0
Self_Direction,5.42,0.43,5.5
Stimulation,5.25,0.99,6.0
Hedonism,4.01,0.98,4.0
Achievement,3.85,0.37,4.0
Power,2.92,0.29,3.0
Security,2.69,0.52,3.0
