,Coefficient,Std Err,p-val,CI
Conformity,-0.072,0.042,0.085,"[-0.15, 0.01]"
Tradition,-0.16,0.099,0.105,"[-0.35, 0.03]"
Benevolence,0.283,0.063,0.0,"[0.16, 0.41]"
Universalism,0.146,0.071,0.039,"[0.01, 0.28]"
Self_Direction,-0.173,0.068,0.011,"[-0.31, -0.04]"
Stimulation,-0.345,0.158,0.028,"[-0.65, -0.04]"
Hedonism,-0.879,0.151,0.0,"[-1.17, -0.58]"
Achievement,0.017,0.059,0.771,"[-0.1, 0.13]"
Power,0.07,0.046,0.127,"[-0.02, 0.16]"
Security,-0.205,0.082,0.013,"[-0.37, -0.04]"
